Name,Datatype,Length,Precision,Not-null,Status
EXTN_ATTRIBUTE_CHAR314,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR315,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR316,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR317,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR318,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR319,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR320,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR321,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR322,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_NUMBER185,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER186,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER187,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER188,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER189,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER190,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER191,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER192,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR323,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR324,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR325,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR326,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR327,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR328,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR329,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR330,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR331,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR332,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR333,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR334,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR335,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR336,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CLOB023,CLOB,,,,
EXTN_ATTRIBUTE_CLOB024,CLOB,,,,
EXTN_ATTRIBUTE_NUMBER193,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER194,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER195,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER196,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER197,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER198,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER199,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER200,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR337,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR338,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR339,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR340,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR341,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR342,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR343,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR344,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR345,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR346,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR347,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR348,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR349,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR350,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CLOB025,CLOB,,,,
CURRENCY_CODE,VARCHAR2,15,,,
CORP_CURRENCY_CODE,VARCHAR2,15,,,
CURCY_CONV_RATE_TYPE,VARCHAR2,30,,,
GROUP_NAME,VARCHAR2,360,,,
GROUP_TYPE,VARCHAR2,30,,,
ANNUAL_INCOME,NUMBER,,18,,
WEALTH_AMT,NUMBER,,,,
AVERAGE_AGE,NUMBER,,18,,
MEDIAN_AGE,NUMBER,,18,,
CHILD_0TO6_NUM,NUMBER,,18,,
CHILD_7TO12_NUM,NUMBER,,18,,
CHILD_13TO18_NUM,NUMBER,,18,,
DEPENDENTS_NUM,NUMBER,,18,,
ANNUAL_EXPENSES,NUMBER,,18,,
ACTION_CODE,VARCHAR2,30,,,
IMPORT_STATUS_CODE,VARCHAR2,30,,,
USER_GUID,VARCHAR2,64,,,
LOAD_REQUEST_ID,NUMBER,,18,,
PARTY_DELETE_FLAG,VARCHAR2,1,,,
SOURCE_SYSTEM_LAST_UPD_DATE,TIMESTAMP,,,,
SALES_BUYING_ROLE_CODE,VARCHAR2,30,,,
SALES_AFFINITY_CODE,VARCHAR2,30,,,
DEPARTMENT_CODE,VARCHAR2,30,,,
DEPARTMENT,VARCHAR2,60,,,
JOB_TITLE,VARCHAR2,100,,,
JOB_TITLE_CODE,VARCHAR2,30,,,
DO_NOT_CALL_FLAG,VARCHAR2,1,,,
DO_NOT_MAIL_FLAG,VARCHAR2,1,,,
DO_NOT_EMAIL_FLAG,VARCHAR2,1,,,
DO_NOT_CONTACT_FLAG,VARCHAR2,1,,,
LAST_CONTACT_DATE,TIMESTAMP,,,,
PREFERRED_CONTACT_METHOD,VARCHAR2,30,,,
BANK_CODE,VARCHAR2,30,,,
BRANCH_CODE,VARCHAR2,30,,,
BUSINESS_REPORT,CLOB,,,,
LAST_KNOWN_GPS,VARCHAR2,60,,,
DB_RATING,VARCHAR2,5,,,
INTERNAL_FLAG,VARCHAR2,1,,,
TRADING_PARTNER_IDENTIFIER,VARCHAR2,30,,,
GROUP_SIZE,NUMBER,,18,,
DATA_CLOUD_STATUS,VARCHAR2,30,,,
FILE_NAME_SYSTASK_ID,NUMBER,,18,,
SALES_PROFILE_TYPE,VARCHAR2,30,,,
SALES_PROFILE_STATUS,VARCHAR2,30,,,
NAMED_FLAG,VARCHAR2,1,,,
LAST_ASSIGNED_DATE,DATE,,,,
OWNER_PARTY_ID,NUMBER,,18,,
OWNER_PARTY_NUMBER,VARCHAR2,30,,,
OWNER_ORIG_SYSTEM,VARCHAR2,30,,,
OWNER_ORIG_SYSTEM_REFERENCE,VARCHAR2,240,,,
CONTACT_ROLE,VARCHAR2,60,,,
REGISTRATION_STATUS,VARCHAR2,30,,,
OWNER_EMAIL_ADDRESS,VARCHAR2,320,,,
